jugador,inmigrante,gol,resultado
Hugo Lloris,0.0,0.0,EMPATO
Aouate,1.0,0.0,GANO
Hasanzada Cahangir,1.0,0.0,EMPATO
Pavel Londak,0.0,0.0,EMPATO
Zhidrunas Karchemarskas,1.0,0.0,PERDIO
Ivankov Dimitar,0.0,0.0,GANO
Tzorvas,0.0,0.0,GANO
Rene Adler,0.0,0.0,EMPATO
Stanislav Namasco,0.0,0.0,EMPATO
Thomas Sorensen,1.0,0.0,GANO
Kolinko Alexandrs,0.0,0.0,PERDIO
Samir Handanovic,0.0,0.0,GANO
Alexander Manninger,1.0,0.0,GANO
Igor Akinfeev,0.0,0.0,PERDIO
Craig Gordon,1.0,0.0,GANO
Konstantinos Chalkias,0.0,0.0,GANO
Hugo Lloris,0.0,0.0,GANO
David Loriya,1.0,0.0,GANO
Jane Nikoloski,0.0,0.0,GANO
Danut Coman,0.0,0.0,EMPATO
Andreas Isaksson,1.0,0.0,PERDIO
Arason Arni,0.0,0.0,GANO
Jane Nikoloski,0.0,0.0,EMPATO
Dudek,0.0,0.0,PERDIO
Quim,0.0,0.0,GANO
Alexandr Mokin,1.0,0.0,PERDIO
Vedran Runje,1.0,0.0,EMPATO
Thomas Srensen,1.0,0.0,GANO
Alvarez Jesus,1.0,0.0,EMPATO
Thomas Srensen,1.0,0.0,PERDIO
Jevric Dragoslav,1.0,0.0,EMPATO
Volkan Demirel,1.0,0.0,GANO
Piedels Andrejs,0.0,0.0,GANO
Antonis Giorgallidis,0.0,0.0,GANO
Petar Milosevski,1.0,0.0,PERDIO
Maik Taylor,1.0,0.0,EMPATO
P Cech,0.0,0.0,EMPATO
Alvarez Jesus,1.0,0.0,GANO
Strakosha Foto   Gk,1.0,0.0,PERDIO
Skovjensen Peter,0.0,0.0,EMPATO
Arjan Beqaj,0.0,0.0,GANO
Gabor Babos,0.0,0.0,EMPATO
Namasco,1.0,0.0,PERDIO
Hmaruc Evgheni   Gk,1.0,0.0,EMPATO
Marton Fulop,1.0,0.0,GANO
Stipe Pletikosa,0.0,0.0,GANO
Vladimir Stojkovic,0.0,0.0,EMPATO
Zhevnov,1.0,0.0,GANO
Devadze Akaki,0.0,0.0,EMPATO
Peruzzi Angelo,0.0,0.0,GANO
Kenan Hasagic,0.0,0.0,PERDIO
Jakup Mikkelsen,1.0,0.0,EMPATO
Giorgi Lomaia,0.0,0.0,PERDIO
Macho Juergen,0.0,0.0,GANO
Stephan Andersen,0.0,0.0,EMPATO
Antonis Giorgallidis,0.0,0.0,EMPATO
Lomaia George,0.0,0.0,PERDIO
Hmaruc Evgheni,0.0,0.0,EMPATO
Revishvili Nukri,0.0,0.0,EMPATO
Alexander Manninger,1.0,0.0,PERDIO
Isaksson,0.0,0.0,GANO
Andrew Hogg,1.0,0.0,PERDIO
Nemanja Supic,1.0,0.0,PERDIO
Kolinko Alexandrs,0.0,0.0,GANO
Sofronis Avgousti,0.0,0.0,PERDIO
Poom Mart,1.0,0.0,GANO
Lomaia George,0.0,0.0,EMPATO
Vukasin Poleksic,1.0,0.0,PERDIO
Sergei Pareiko,0.0,0.0,PERDIO
Davidovitch Nir,0.0,0.0,EMPATO
Jussi Jaaskelainen,0.0,0.0,GANO
Gunnleifur Gunnleifsson,0.0,0.0,PERDIO
Sofronis Avgousti,0.0,0.0,GANO
Stipe Pletikosa,0.0,0.0,PERDIO
Marco Amelia,0.0,0.0,GANO
Michail Sifakis,0.0,0.0,GANO
Dudek Jerzy,0.0,0.0,PERDIO
Manninger Alexander,1.0,0.0,EMPATO
Gevorg Kasparov,0.0,0.0,GANO
Karcemarskas,1.0,0.0,PERDIO
Shovkovskyi Oleksandr,0.0,0.0,GANO
Berezovski,1.0,0.0,PERDIO
Morphis Michael,0.0,0.0,PERDIO
Peter Jehle,1.0,0.0,EMPATO
Peersman Tristan,1.0,0.0,EMPATO
Andriy Pyatov,0.0,0.0,EMPATO
Namasco,1.0,0.0,EMPATO
Jonathan Joubert,0.0,0.0,EMPATO
Jussi Jaaskelainen,0.0,0.0,PERDIO
Kiraly Gabor,0.0,0.0,PERDIO
David Marshall,1.0,0.0,PERDIO
Manninger Alexander,1.0,0.0,PERDIO
Zhaunou Yury,1.0,0.0,PERDIO
Maik Taylor,1.0,0.0,PERDIO
Malafeev Vyacheslav,1.0,0.0,EMPATO
Artur Boruc,0.0,0.0,GANO
Haber Justin,0.0,0.0,PERDIO
Jehle,1.0,0.0,PERDIO
Manninger Alexander,1.0,0.0,GANO
Dudu Aouate,0.0,0.0,GANO
Matysek,0.0,0.0,GANO
Dragoslav Jevric,0.0,0.0,EMPATO
Morphis Michael,0.0,0.0,GANO
Hkon Opdal,0.0,0.0,PERDIO
Fgasperoni,0.0,0.0,PERDIO
Bkristinsson,0.0,0.0,PERDIO
Antonios Nikopolidis,0.0,0.0,PERDIO
Dinov,0.0,0.0,EMPATO
Dmitri Kharin,0.0,0.0,EMPATO
Federico Gasperoni,0.0,0.0,PERDIO
Tome Pacovski,0.0,0.0,PERDIO
Petr Cech,0.0,0.0,GANO
Rni Gautur Arason,0.0,0.0,GANO
Peruzzi,0.0,0.0,PERDIO
Gould,1.0,0.0,GANO
Hans Van Breukelen,0.0,0.0,EMPATO
Sergei Veremko,0.0,0.0,GANO
Geert De Vlieger,0.0,0.0,GANO
Foto Strakosha,0.0,0.0,PERDIO
Paulius Grybauskas,0.0,0.0,PERDIO
Stelea,0.0,0.0,PERDIO
Roman Berezovsky,1.0,0.0,PERDIO
Antti Niemi,0.0,0.0,GANO
Awat,1.0,0.0,PERDIO
Bogdan Arges Vintila,0.0,0.0,PERDIO
Vedran Runje,0.0,0.0,GANO
Rst Reber,0.0,0.0,PERDIO
Rst Reber,0.0,0.0,EMPATO
Petr Cech,0.0,0.0,PERDIO
Jerzy Dudek,0.0,0.0,EMPATO
Jens Lehmann,0.0,0.0,GANO
Bodo Illgner,0.0,0.0,PERDIO
Tomislav Butina,0.0,0.0,EMPATO
Ricardo Pereira,1.0,0.0,GANO
Koldo,1.0,0.0,PERDIO
Dudu Awat,1.0,0.0,GANO
Jonathan Joubert,1.0,0.0,PERDIO
Bogdan Lobont,0.0,0.0,GANO
Ladic,1.0,0.0,GANO
Kahn,1.0,0.0,GANO
Sturua Zviadi,1.0,0.0,PERDIO
Sergei Ovchinnikov,0.0,0.0,GANO
Peter Jehle,1.0,0.0,GANO
Pascenco Serghei,0.0,0.0,PERDIO
Eike Immel,0.0,0.0,GANO
Craig Gordon,1.0,0.0,PERDIO
Lubos Kamenar,1.0,0.0,GANO
Seaman,0.0,0.0,PERDIO
Wohlfahrt,0.0,0.0,GANO
Piedels Andrejs,0.0,0.0,PERDIO
Atmatsidis,0.0,0.0,GANO
Mrton Flp,0.0,0.0,GANO
Koldo Lvarez,1.0,0.0,PERDIO
Pepe Reina,0.0,0.0,GANO
Pjones,1.0,0.0,PERDIO
Jerzy Dudek,0.0,0.0,GANO
Stijn Stijnen,0.0,0.0,PERDIO
Jkup Mikkelsen,0.0,0.0,PERDIO
Petr Ech,0.0,0.0,GANO
Postulka,0.0,0.0,GANO
Grods,0.0,0.0,GANO
Srncek,0.0,0.0,GANO
Vasili Khomutovski,1.0,0.0,PERDIO
Vladimir Stojkovic,1.0,0.0,EMPATO
Hans Van Breukelen,0.0,0.0,GANO
Gbor Kirly,0.0,0.0,PERDIO
Justin Haber,1.0,0.0,PERDIO
Alexandros Tzorvas,0.0,0.0,GANO
Ladic,1.0,0.0,PERDIO
Kralj,0.0,0.0,GANO
Francesco Toldo,0.0,0.0,GANO
Adnan Guo,0.0,0.0,GANO
Afanasenko,1.0,0.0,PERDIO
Dmitri Kharin,0.0,0.0,PERDIO
Zydrunas Karcemarskas,0.0,0.0,PERDIO
Helge Payer,0.0,0.0,PERDIO
Mickal Landreau,0.0,0.0,GANO
Fabien Barthez,0.0,0.0,GANO
Mladen Dabanovic,1.0,0.0,PERDIO
Michel Vorm,1.0,0.0,GANO
Mart Poom,0.0,0.0,GANO
Kramarenko,1.0,0.0,GANO
Nicos Panayiotou,0.0,0.0,PERDIO
Paul Jones,1.0,0.0,PERDIO
Caizares,0.0,0.0,GANO
Kenan Hasagic,1.0,0.0,GANO
Kamil Contofalsk,1.0,0.0,PERDIO
Dudu Awat,1.0,0.0,PERDIO
Niemi,0.0,0.0,EMPATO
Sergei Ovchinnikov,0.0,0.0,EMPATO
Lewis Price,1.0,0.0,GANO
Stauce,0.0,0.0,EMPATO
Robert Douglas,1.0,0.0,EMPATO
Georgi Lomaia,0.0,0.0,GANO
Davidovich,1.0,0.0,PERDIO
Rni Arason,0.0,0.0,PERDIO
Ricardo,1.0,0.0,EMPATO
Jonathan Joubert,1.0,0.0,GANO
Vladimir Gayev,1.0,0.0,GANO
David Loria,1.0,0.0,PERDIO
Federico Valentini,1.0,0.0,PERDIO
Thomas Mandl,0.0,0.0,PERDIO
Rinat Dasayev C,0.0,0.0,GANO
Edwin Van Der Sar,1.0,0.0,EMPATO
Novikov Yuriy   Gk,1.0,0.0,PERDIO
Tefan Seneck,0.0,0.0,GANO
Andy Goram,1.0,0.0,PERDIO
Stelea,0.0,0.0,GANO
David Loria,1.0,0.0,GANO
Muscat,0.0,0.0,PERDIO
Matysek,0.0,0.0,PERDIO
Simeunovic,0.0,0.0,GANO
Goram,1.0,0.0,EMPATO
Olexandr Shovkovskiy,1.0,0.0,PERDIO
Aleksandrs Kolinko,1.0,0.0,EMPATO
Serghei Pascenco,0.0,0.0,GANO
Manuel Neuer,0.0,0.0,GANO
Alexander Manninger,0.0,0.0,GANO
Ovchinnikov,0.0,0.0,PERDIO
Maarten Stekelenburg,0.0,0.0,PERDIO
Oliver Kahn,0.0,0.0,GANO
Koldo Alvarez,1.0,0.0,PERDIO
Milosevski,0.0,0.0,PERDIO
Rustu Recber,0.0,0.0,EMPATO
Jens Lehmann,0.0,0.0,EMPATO
Strakosha,0.0,0.0,PERDIO
Mart Poom,0.0,0.0,PERDIO
Davidovich,1.0,0.0,GANO
Maarten Stekelenburg,0.0,0.0,EMPATO
Simeunovic,0.0,0.0,PERDIO
Sullivan,1.0,0.0,PERDIO
Dudu Awat,1.0,0.0,EMPATO
Peter Schmeichel,1.0,0.0,PERDIO
Bruno Martini,1.0,0.0,EMPATO
Olsen,0.0,0.0,GANO
Vtor Baa,0.0,0.0,GANO
Maart Poom,0.0,0.0,GANO
Jos Molina,1.0,0.0,PERDIO
Cherchesov,0.0,0.0,PERDIO
Robert Green,1.0,0.0,PERDIO
Edwin Van Der Sar,1.0,0.0,GANO
Thomas Srensen,1.0,0.0,EMPATO
Hasagic Kenan,0.0,0.0,PERDIO
Alija Besic,1.0,0.0,PERDIO
