,data
742,-1.97
743,2.42
744,-1.57
745,-1.03
746,3.19
747,2.13
748,-4.32
749,5.27
750,5.95
751,-2.05
752,1.06
753,4.74
754,-0.51
755,-2.87
756,1.86
757,8.99
758,-1.24
759,-6.84
760,3.1
761,2.96
762,-3.94
763,4.91
764,4.52
765,-1.8
766,3.42
767,-3.0
768,7.14
769,-8.48
770,-3.92
771,-15.43
772,5.78
773,0.31
774,8.46
775,11.79
776,-0.08
777,3.46
778,-0.67
779,4.19
780,6.37
781,-0.9
782,7.36
783,-1.01
784,-4.31
785,0.75
786,10.34
787,5.9
788,-0.16
789,-4.04
790,7.46
791,7.8
792,-4.34
793,-2.46
794,1.94
795,1.33
796,-0.27
797,4.57
798,-1.8
799,3.3
800,8.1
801,-7.88
802,0.54
803,0.63
804,0.19
805,-5.28
806,-7.59
807,4.47
808,-0.92
809,16.89
810,7.64
811,-2.47
812,-1.79
813,-5.27
814,2.96
815,-5.1
816,3.33
817,3.32
818,4.38
819,-7.1
820,-8.09
821,3.51
822,-1.67
823,3.79
824,4.05
825,-0.89
826,-2.3
827,1.85
828,13.74
829,-4.82
830,3.5
831,-6.72
832,8.53
833,1.17
834,4.18
835,4.9
836,-0.59
837,1.2
838,0.57
839,-3.66
840,-5.91
841,0.67
842,2.48
843,0.67
844,4.89
845,-3.97
846,0.19
847,10.88
848,-5.28
849,-1.32
850,5.74
851,4.82
852,0.22
853,-0.82
854,1.58
855,-8.42
856,-3.6
857,-8.24
858,-1.41
859,2.36
860,13.59
861,1.56
862,-5.75
863,-6.63
864,2.13
865,-15.82
866,5.67
867,9.11
868,4.01
869,0.74
870,-3.51
871,-0.47
872,2.67
873,20.5
874,-5.25
875,9.31
876,-9.48
877,-2.01
878,-2.22
879,0.28
880,0.31
881,11.13
882,-1.21
883,-7.61
884,6.63
885,-7.8
886,0.99
887,-6.53
888,-0.14
889,5.54
890,-5.23
891,2.21
892,0.04
893,6.68
894,2.83
895,-0.36
896,-1.3
897,3.82
898,11.13
899,-6.53
900,-8.68
901,-0.86
902,-11.25
903,-3.32
904,12.32
905,5.99
906,-2.61
907,1.52
908,5.41
909,-1.26
910,4.58
911,-5.65
912,-10.01
913,-0.8
914,-10.41
915,-7.09
916,12.78
917,1.1
918,-0.25
919,-6.78
920,-1.74
921,8.38
922,12.63
923,3.76
924,9.8
925,7.22
926,4.83
927,16.79
928,10.71
929,8.23
930,-5.47
931,3.59
932,-1.28
