,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200703,   0.8523,   1.3999,   1.7562,   0.9423,   1.0560,   1.2668
200704,   2.0864,   1.3904,   3.1715,   3.8010,   3.7275,   4.9179
200705,   2.6200,   4.7745,   4.8212,   3.0239,   3.2834,   3.9256
200706,  -0.8435,  -1.5151,  -0.3076,  -1.7400,  -2.2773,  -1.2067
200707,  -5.6048,  -6.4055,  -6.8662,  -4.0095,  -3.2036,  -2.3769
200708,   1.1966,   2.3685,  -0.9680,   1.2705,   2.0077,   0.9749
200709,   2.2483,   0.6641,   0.8650,   3.8101,   3.3384,   4.0703
200710,   2.9834,   1.6500,   0.8714,   1.2500,   1.8789,   2.7434
200711,  -8.7907,  -5.7168,  -7.0641,  -4.8649,  -5.3523,  -2.8386
200712,  -0.0885,  -0.7758,  -0.5422,  -1.3025,  -1.8244,   0.7985
200801,  -8.7343,  -5.1039,  -5.2126,  -6.3117,  -6.4324,  -5.4068
200802,  -4.2039,  -3.5724,  -2.7828,  -1.5058,  -5.4871,  -1.2635
200803,  -1.3996,   0.6583,   0.1653,  -0.4357,  -1.0383,  -0.4009
200804,   2.5792,   3.5669,   5.2259,   4.1215,   4.8061,   4.8298
200805,   4.3619,   4.3858,   6.8850,   3.1561,   0.4093,   2.4502
200806,  -9.0746,  -7.9940,  -4.4323, -10.7740, -10.9254,  -5.5347
200807,   3.6200,   3.4740,   2.1665,  -1.0462,   0.5214,  -2.2873
200808,   3.9182,   4.7235,   5.3564,  -0.4322,   1.2848,   1.8873
200809,  -9.7505,  -6.0137, -10.1148, -13.2121,  -8.7344,  -8.0336
200810, -21.5373, -18.8993, -21.6487, -21.2552, -16.5892, -15.1643
200811, -13.1253, -11.1676, -12.7791, -13.5066,  -7.8245,  -4.8035
200812,   5.0151,   4.1329,   5.1307,   1.6894,   1.0608,   1.8325
200901,  -9.9352, -12.3607, -10.7811,  -6.8824, -10.3366,  -5.8231
200902, -12.1183, -11.6468, -11.6844, -10.9156, -10.2622,  -9.1312
200903,  11.4503,   8.7985,   9.7825,  11.4316,   8.8161,   8.0596
200904,  15.2999,  16.5918,  21.9500,  11.7852,  10.3439,   7.6970
200905,   4.7648,   1.2287,   3.5267,   5.9906,   4.5277,   5.7568
200906,   4.5854,   1.4793,   0.4602,  -0.6652,  -0.0579,   0.7749
200907,   9.8978,   9.7458,  10.9027,   7.7062,   9.3677,   5.9903
200908,   3.9739,   3.2742,   4.3738,   7.9782,   2.7667,   1.7408
200909,   6.5085,   5.4153,   8.7242,   3.3031,   4.7240,   3.5853
200910,  -9.7935,  -5.1822,  -6.4353,  -4.8899,  -2.6294,   0.0975
200911,   2.7707,   2.4409,   2.8528,   4.1754,   6.1475,   6.0460
200912,   8.1066,   7.7339,   9.8795,   1.4528,   3.3271,   1.7861
201001,  -3.3026,  -3.1598,  -3.0180,  -1.6594,  -3.3932,  -4.3976
201002,   5.0917,   4.3672,   5.5928,   4.1050,   3.1106,   3.0375
201003,   8.5570,   6.9878,   8.9876,   6.8288,   6.5379,   5.1432
201004,   6.9369,   5.6579,   7.0534,   0.5209,   1.6261,   1.8046
201005,  -8.7635,  -7.5293,  -6.3409,  -8.1244,  -7.4126,  -8.0114
201006,  -8.1444,  -7.5887,  -8.8940,  -5.2883,  -5.6566,  -4.9066
201007,   6.7767,   7.3777,   6.1516,   5.8888,   7.0472,   7.0262
201008,  -8.0510,  -7.1642,  -8.4065,  -5.3083,  -4.8302,  -3.7967
201009,  13.2101,  12.0362,  12.4006,   9.0490,   8.9852,   9.4869
201010,   3.9088,   4.3097,   4.5869,   2.5703,   3.2530,   4.4281
201011,   3.4649,   4.0961,   4.2164,   0.7164,  -0.6689,   0.7639
201012,  10.0709,   7.3490,   6.6450,   8.8113,   7.5988,   5.1768
201101,   0.0196,   0.2290,  -0.2151,   2.7191,   3.0320,   1.6532
201102,   5.9235,   5.4967,   3.6063,   4.2572,   3.9863,   2.7177
201103,   2.1327,   2.7427,   3.3468,  -1.5568,   0.3974,   0.8138
201104,   1.8975,   2.4553,   2.4832,   1.8992,   2.8894,   3.4661
201105,  -2.8008,  -2.2484,  -1.4354,  -3.0869,  -1.0730,  -0.6825
201106,  -3.3109,  -1.0464,  -0.6748,  -3.1955,  -2.0373,  -0.9477
201107,  -4.6103,  -3.5484,  -2.9329,  -4.8168,  -2.5683,  -1.0433
201108, -10.8686,  -7.5244,  -9.3268,  -9.5739,  -5.8174,  -4.5219
201109, -11.8807, -10.2791, -11.9501, -10.4627,  -7.4192,  -6.3269
201110,  14.9132,  14.4836,  15.6001,  15.1411,  11.0509,  10.1663
201111,  -1.7553,   0.3015,  -0.7798,  -2.3963,  -0.0877,   0.2848
201112,   0.5092,   0.6036,   0.1528,  -1.8024,   1.7583,   0.5706
201201,   8.1098,   6.3373,   6.2707,   6.9215,   4.3776,   4.7361
201202,   3.1508,   2.3462,   3.3445,   5.5249,   4.4450,   4.3907
201203,   3.2802,   2.5014,   2.1307,   2.9479,   3.3620,   2.9984
201204,  -1.8322,  -1.4976,  -0.8848,  -2.0942,  -0.7557,  -0.4195
201205,  -6.8143,  -6.3348,  -5.9719,  -9.0463,  -5.7960,  -5.6956
201206,   5.9949,   4.0352,   4.1508,   4.2869,   3.6046,   3.9950
201207,  -2.8744,  -0.6659,  -2.2840,  -0.6449,   1.5543,   1.0327
201208,   3.2082,   3.7372,   2.8275,   4.4440,   2.4116,   2.1572
201209,   3.5632,   3.9181,   3.2443,   4.2760,   3.4441,   1.5768
201210,  -2.8878,  -1.1285,  -2.3362,   1.0282,  -1.8875,  -2.1945
201211,   0.3996,   1.2317,   1.9429,   0.5189,   1.2598,   0.2807
