,data
723,4.793
724,2.609
725,-0.1591
726,-0.9414
727,8.5082
728,4.4328
729,0.9209
730,5.392
731,0.5887
732,-9.2227
733,2.3985
734,5.0219
735,2.77
736,6.5522
737,4.9493
738,6.3846
739,6.1301
740,3.9276
741,-1.6726
742,6.6344
743,-9.6554
744,-0.4384
745,-1.9981
746,-10.6064
747,-1.864
748,-4.3318
749,6.3588
750,1.7305
751,21.2661
752,5.1435
753,5.7169
754,4.7688
755,-0.6733
756,10.7454
757,8.6375
758,1.3488
759,7.9867
760,-2.3608
761,0.4028
762,10.0564
763,1.9136
764,-6.4241
765,-1.6251
766,17.5838
767,10.6126
768,0.4585
769,-4.5444
770,3.6845
771,7.3428
772,-0.1213
773,7.6156
774,0.8344
775,-0.9422
776,-9.2286
777,1.8419
778,-0.8051
779,-0.641
780,-12.036
781,-10.855
782,6.6129
783,-1.9642
784,10.6609
785,-6.2631
786,-6.2267
787,-5.1253
788,2.1413
789,-3.9217
790,-18.1783
791,-9.2603
792,-8.6648
793,7.294
794,7.0344
795,15.2762
796,-6.5844
797,0.4695
798,9.2338
799,14.2492
800,7.176
801,6.951
802,1.7239
803,-5.6214
804,-1.4335
805,-7.0781
806,4.5893
807,1.6634
808,-6.3785
809,-3.1103
810,13.3678
811,9.7482
812,4.272
813,0.1389
814,0.0821
815,-2.8557
816,-3.9972
817,-4.9366
818,0.203
819,-3.6958
820,-2.3117
821,5.4023
822,-2.8846
823,-5.6363
824,-9.4636
825,-3.8297
826,-9.4137
827,-9.6215
828,-5.4602
829,15.7303
830,-6.0053
831,9.3223
832,-1.627
833,-21.7549
834,-3.9817
835,14.3872
836,0.6251
837,2.0703
838,-4.9132
839,-6.6708
840,-2.6677
841,-6.1464
842,-7.6143
843,-9.7512
844,9.1012
845,-6.1854
846,-8.8859
847,31.86
848,4.4786
849,11.8933
850,4.7753
851,8.3397
852,8.063
853,-0.0041
854,-5.313
855,-3.6714
856,1.845
857,1.7985
858,-0.616
859,19.4893
860,10.9456
861,2.7247
862,-0.7544
863,-1.4276
864,2.6193
865,-0.2806
866,-2.0971
867,2.3782
868,-2.3053
869,2.8884
870,10.796
871,3.8873
872,-0.197
873,1.1277
874,1.3955
875,0.3634
876,6.0583
877,1.28
878,0.0967
879,2.1557
880,-2.6459
881,8.0847
882,3.4862
883,-1.2773
884,3.7946
885,7.055
886,8.4788
887,8.4609
888,0.7138
889,6.4077
890,11.6633
891,-0.4595
892,-21.72
893,6.2723
894,2.6362
895,10.7046
896,-2.7907
897,9.3596
898,2.7279
899,-1.3399
900,4.6673
901,2.6345
902,8.8451
903,-0.5791
904,-10.6935
905,8.6639
906,7.8626
907,9.9219
908,-0.8541
909,-17.8292
910,5.3727
911,8.0578
912,4.9806
913,11.8369
914,8.5157
915,5.7519
916,5.4297
917,7.882
918,-3.6332
919,-0.2041
920,0.4524
921,8.4861
922,5.3441
923,3.6842
924,-1.1678
925,-2.9853
926,-9.4388
927,-9.3271
928,9.6463
929,2.5229
930,-1.3502
931,-2.6705
932,-5.5741
933,-1.363
934,6.6869
935,-2.024
936,-3.5312
937,-1.3704
938,5.9716
939,3.6514
940,16.8464
941,10.6324
942,1.8554
943,9.3822
944,5.5437
945,3.9905
946,7.6689
947,9.1148
948,4.4937
949,-2.1549
950,-3.1055
951,0.8596
952,-7.2816
953,4.3117
954,-2.0537
955,-0.7783
956,-6.9509
957,0.4101
958,-1.3688
959,-4.3186
960,2.5705
961,-3.8597
962,11.0687
963,-0.8812
964,-1.0642
965,-2.8073
966,1.4569
967,14.0869
968,5.0778
969,-1.8463
970,-0.7507
971,3.6817
972,1.3228
973,2.4707
974,-0.9746
975,-6.1949
976,2.5022
977,6.8606
978,3.5949
979,3.715
980,6.9187
981,5.0174
982,2.487
983,3.6082
984,0.2245
985,-9.0297
986,1.1018
987,-7.1644
988,3.4927
989,-0.6249
990,-3.7839
991,12.1548
992,8.1179
993,1.9732
994,-3.0402
995,-0.5637
996,2.581
997,2.7903
998,2.8308
999,-1.1685
1000,-29.8987
1001,-6.2032
1002,4.2697
1003,6.3832
1004,8.156
1005,5.3626
1006,1.3321
1007,-2.0067
1008,6.0326
1009,0.1187
1010,-2.0109
1011,2.9815
1012,-0.6533
1013,-3.733
1014,3.5959
1015,4.9825
1016,1.0024
1017,2.4863
1018,4.1816
1019,3.7339
1020,-1.3739
1021,3.8989
1022,3.1159
1023,0.5967
1024,-5.2204
1025,-0.1538
1026,-0.2601
1027,-8.0757
1028,2.4121
1029,3.5882
1030,-1.635
1031,6.0167
1032,0.1051
1033,-3.6659
1034,-14.6483
1035,-10.0449
1036,-6.183
1037,5.897
1038,2.6347
1039,9.9063
1040,13.9485
1041,9.4106
1042,2.2851
1043,4.6638
1044,-3.8577
1045,3.4028
1046,3.2988
1047,0.7912
1048,2.6074
1049,-3.5362
1050,6.0314
1051,13.8102
1052,5.6154
1053,-2.4766
1054,-4.7119
1055,-0.7545
1056,-5.552
1057,3.8974
1058,-1.6787
1059,1.7695
1060,3.0664
1061,9.0915
1062,3.8031
1063,6.5408
1064,-2.5295
1065,2.2551
1066,-3.5487
1067,3.6068
1068,0.9173
1069,0.4415
1070,4.2661
1071,2.8874
1072,5.547
1073,-2.298
1074,2.1917
1075,4.0318
1076,-0.1345
1077,-5.2452
1078,-0.8907
1079,-0.5353
1080,-3.2609
1081,1.6722
1082,4.566
1083,1.2893
1084,0.6437
1085,-3.6973
1086,-0.8378
1087,3.1366
1088,3.1324
1089,1.6092
1090,2.1875
1091,2.0027
1092,5.1099
1093,7.4488
1094,3.025
1095,2.195
1096,-4.5753
1097,2.3586
1098,0.2899
1099,0.9927
1100,3.5886
1101,3.1252
1102,6.6873
1103,5.9521
1104,-2.6578
1105,-8.3104
1106,5.277
1107,2.7994
1108,-0.9674
1109,2.6407
1110,1.7099
1111,5.5649
1112,-1.7678
1113,-4.0559
1114,-2.0767
1115,10.9084
1116,5.2419
1117,5.3857
1118,4.3645
1119,8.4701
1120,-2.0431
1121,-1.4866
1122,-0.8755
1123,0.4405
1124,6.5836
1125,4.0371
1126,2.6455
1127,-5.5176
1128,-1.696
1129,-5.8544
1130,-19.4855
1131,2.747
1132,3.6128
1133,6.4151
1134,2.7216
1135,5.1589
1136,-5.9001
1137,-2.275
1138,8.8829
1139,3.4267
1140,3.2951
1141,1.1557
1142,-3.6894
1143,-2.474
1144,-2.98
1145,6.2943
1146,6.0955
1147,0.256
1148,4.7314
1149,1.4161
1150,-5.3783
1151,-4.7459
1152,4.2032
1153,1.3619
1154,5.7825
1155,-2.4938
1156,-3.8252
1157,-6.5522
1158,3.3011
1159,18.2532
1160,-1.7613
1161,-2.2283
1162,5.7819
1163,7.5309
1164,3.5944
1165,-0.3717
1166,-2.2784
1167,-13.5588
1168,6.1905
1169,5.851
1170,6.5976
1171,2.3366
1172,-1.1193
1173,10.3501
1174,3.867
1175,-2.1987
1176,-4.9861
1177,-12.1272
1178,0.8811
1179,-5.9195
1180,0.6067
1181,8.025
1182,-1.2691
1183,-1.279
1184,-2.4869
1185,1.3101
1186,7.7409
1187,9.5808
1188,5.8623
1189,6.9897
1190,3.239
1191,1.2309
1192,8.31
1193,4.1222
1194,4.4138
1195,4.6305
1196,3.5685
1197,2.1806
