,data
794,1.5905
795,4.6775
796,9.2875
797,1.5569
798,-0.7188
799,-7.9791
800,0.6202
801,-2.9417
802,6.9739
803,-0.594
804,0.4746
805,3.4304
806,3.6872
807,4.0224
808,-3.2226
809,2.3037
810,1.3968
811,-0.6819
812,-7.0686
813,-1.0533
814,-2.3628
815,-5.7761
816,2.2628
817,9.5543
818,-0.0324
819,1.6913
820,-2.933
821,1.5994
822,-2.008
823,3.3403
824,4.4404
825,-0.1221
826,1.0001
827,10.0573
828,9.0415
829,0.7037
830,1.9186
831,-6.927
832,4.9016
833,2.9293
834,0.0741
835,5.3519
836,2.1772
837,10.1248
838,6.2569
839,-6.8976
840,-15.3263
841,8.1057
842,5.9681
843,-5.2514
844,1.0416
845,1.5598
846,4.1221
847,-9.3644
848,-9.3648
849,-4.1548
850,17.4035
851,2.2945
852,5.3096
853,3.6021
854,7.5835
855,-6.0745
856,-3.3774
857,-1.3901
858,0.3598
859,8.7605
860,4.2365
861,0.05
862,-8.9191
863,2.1268
864,-7.7969
865,-25.7344
866,12.3574
867,5.2246
868,9.2974
869,7.3302
870,6.2613
871,-9.181
872,0.4812
873,10.7669
874,1.333
875,8.3053
876,-1.6725
877,-3.2314
878,-0.1157
879,2.739
880,11.9381
881,17.0595
882,0.1573
883,28.0205
884,-12.9799
885,-11.9648
886,-10.1693
887,14.4977
888,-7.4858
889,8.0705
890,-4.0548
891,-9.323
892,-18.2404
893,0.1856
894,14.1377
895,-13.9675
896,-5.4028
897,11.1464
898,1.6285
899,6.6591
900,-10.4235
901,-10.0625
902,-18.7306
903,11.5389
904,10.245
905,8.0868
906,-6.3788
907,-9.6959
908,8.7635
909,-4.7349
910,-7.9496
911,-7.7842
912,-15.8697
913,0.4126
914,-8.1417
915,10.6025
916,13.0366
917,-10.2256
918,-3.4393
919,-2.9326
920,1.927
921,10.7483
922,13.4342
923,1.7639
924,8.2871
925,4.428
926,-2.4797
927,8.6541
928,2.4082
929,2.1713
930,3.4902
931,1.168
932,2.2259
933,-4.1298
934,1.1742
935,3.4786
936,-8.4968
937,-4.5205
938,8.0374
939,3.4237
940,7.3493
941,3.6165
942,-5.5879
943,2.3561
944,-4.3575
945,-7.6302
946,9.3822
947,1.9509
948,7.4383
949,-2.4047
950,0.2951
951,-3.8903
952,5.2698
953,0.0976
954,7.1313
955,-0.2494
956,3.4209
957,-0.3755
958,-6.1767
959,0.303
960,-5.0905
961,3.2061
962,0.1542
963,6.4974
964,1.9355
965,-1.786
966,2.3717
967,-1.1195
968,1.1572
969,2.3989
970,3.5267
971,-1.3978
972,-4.3768
973,2.4503
974,3.2236
975,3.8453
976,-6.5941
977,1.2049
978,-9.573
979,-4.881
980,-0.3118
981,3.0128
982,7.1185
983,-7.5557
984,2.3666
985,4.5003
986,-8.5678
987,-22.9228
988,-10.6237
989,4.4372
990,-6.8336
991,-10.2171
992,8.9492
993,15.5526
994,5.2394
995,6.448
996,5.9751
997,0.066
998,8.217
999,-7.405
1000,2.5392
1001,9.3585
1002,-3.1897
1003,2.129
1004,7.026
1005,2.0151
1006,-4.7043
1007,-5.4441
1008,6.7694
1009,-5.4964
1010,14.5716
1011,3.9221
1012,3.339
1013,7.3328
1014,0.6042
1015,5.3646
1016,3.4244
1017,4.0933
1018,-1.8182
1019,-0.4739
1020,-3.8343
1021,-10.1563
1022,-10.451
1023,17.9564
1024,0.2502
1025,-0.8609
1026,8.1678
1027,4.0644
1028,1.9798
1029,-0.2272
1030,-5.6311
1031,7.0171
1032,-4.1475
1033,1.6435
1034,5.3642
1035,-5.9681
1036,-0.4837
1037,3.5227
1038,7.3921
1039,0.9288
1040,5.082
1041,-0.8943
1042,5.4387
1043,1.7618
1044,7.1593
1045,-0.735
1046,7.0629
1047,0.5487
1048,6.1401
1049,2.7701
1050,0.0742
1051,4.5502
1052,-3.9276
1053,-6.6694
1054,-0.2894
1055,7.5865
1056,-5.2482
1057,5.8072
1058,-4.9581
1059,8.3291
1060,1.6201
1061,0.9928
1062,-1.3078
1063,7.2962
1064,3.2182
1065,-3.8862
1066,3.0034
1067,1.3405
1068,-0.1794
1069,-10.1786
1070,-9.7213
1071,2.9303
1072,8.0808
1073,-2.974
1074,-17.8348
1075,-1.6396
1076,8.5973
1077,4.6295
1078,3.4359
1079,-0.347
1080,8.1521
1081,0.1346
1082,5.4714
1083,-9.7691
1084,9.4782
1085,-2.66
1086,2.5521
1087,6.0828
1088,3.8076
1089,3.8434
1090,0.1823
1091,6.1145
1092,-0.2083
1093,-0.7164
1094,5.6242
1095,0.2335
1096,2.1856
1097,0.0474
1098,3.1989
1099,-3.9807
1100,2.0735
1101,0.2333
1102,8.4785
1103,1.2844
1104,1.5627
1105,7.7065
1106,-1.8323
1107,-12.6526
1108,3.2716
1109,-12.3324
1110,10.7143
1111,6.5355
1112,-0.3817
1113,3.0309
