,Date,Country,Finalresult,TeamPlayer1,foreign_1,goal_1,TeamPlayer2,foreign_2,goal_2,TeamPlayer3,foreign_3,goal_3,TeamPlayer4,foreign_4,goal_4,TeamPlayer5,foreign_5,goal_5,TeamPlayer6,foreign_6,goal_6,TeamPlayer7,foreign_7,goal_7,TeamPlayer8,foreign_8,goal_8,TeamPlayer9,foreign_9,goal_9,TeamPlayer10,foreign_10,goal_10,TeamPlayer11,foreign_11,goal_11,TeamPlayer12,foreign_12,goal_12,TeamPlayer13,foreign_13,goal_13,TeamPlayer14,foreign_14,goal_14,marcador,winners,losers,tie
26,2012-06-08,Poland,1-1,Wojciech Szczsny,0.0,0.0,Ukasz Piszczek,0.0,0.0,Marcin Wasilewski,0.0,0.0,Damien Perquis,1.0,0.0,Sebastian Boenisch,1.0,0.0,Eugen Polanski,1.0,0.0,Rafa Murawski,0.0,0.0,Ludovic Obraniak,0.0,0.0,Maciej Rybus,0.0,0.0,Jakub Baszczykowski C,0.0,0.0,Robert Lewandowski,0.0,1.0,Przemysaw Tyto,0.0,0.0,,,,,,,EMPATO,0.0,0.0,1.0
27,2012-06-08,Czech Republic,4-1,Petr Ech,0.0,0.0,Theodor Gebre Selassie,1.0,0.0,Roman Hubnk,0.0,0.0,Tom Sivok,0.0,0.0,Michal Kadlec,0.0,0.0,Jaroslav Plail,0.0,0.0,Jan Rezek,0.0,0.0,Tom Hbschman,0.0,0.0,Milan Petrela,0.0,0.0,Petr Jirek,0.0,0.0,Vclav Pila,0.0,1.0,Tom Rosick C,0.0,0.0,Milan Baro,0.0,0.0,David Lafata,1.0,0.0,PERDIO,0.0,1.0,0.0
28,2009-11-18,Russia,1-0,Igor Akinfeev,0.0,0.0,Anyukov,0.0,0.0,Ignashevich,0.0,0.0,V Berezutskiy,0.0,0.0,Diniyar Bilyaletdinov,0.0,0.0,Igor Denisov,0.0,0.0,Pavlyuchenko,0.0,0.0,Andrey Arshavin,0.0,0.0,Yanbaev,0.0,0.0,Konstantin Zyryanov,0.0,0.0,Yuri Zhirkov,0.0,0.0,Sergey Semak,0.0,0.0,Pogrebnyak,0.0,0.0,Kerzhakov,0.0,0.0,PERDIO,0.0,1.0,0.0
29,2009-11-18,Slovenia,1-0,S Handanovic,1.0,0.0,Miso Brecko,0.0,0.0,Marko Suler,1.0,0.0,Cesar,0.0,0.0,Robert Koren,1.0,0.0,Valter Birsa,0.0,0.0,Milivoje Novakovic,0.0,0.0,Jokic,1.0,0.0,Dedic,1.0,1.0,Andra Kirm,1.0,0.0,Radosavljevic,1.0,0.0,Nejc Pecnik,1.0,0.0,Stevanovic,1.0,0.0,,,,GANO,1.0,0.0,0.0
30,2009-11-18,Portugal,0-1,Eduardo,0.0,0.0,Bruno Alves,1.0,0.0,Paulo Ferreira,0.0,0.0,Duda,0.0,0.0,Ricardo Carvalho,1.0,0.0,Tiago,1.0,0.0,Liedson,1.0,0.0,Simao,0.0,0.0,Pepe,1.0,0.0,Raul Meireles,1.0,1.0,Nani,0.0,0.0,Miguel Veloso,0.0,0.0,Deco,1.0,0.0,Edinho,0.0,0.0,GANO,1.0,0.0,0.0
31,2009-11-18,Ukraine,0-1,Andriy Pyatov,0.0,0.0,Yaroslav Rakitskiy,1.0,0.0,Oleksandr Kucher,0.0,0.0,Anatoliy Tymoschuk,0.0,0.0,Yevhen Khacheridi,1.0,0.0,Andriy Shevchenko,1.0,0.0,Oleksandr Aliyev,1.0,0.0,Artem Milevskiy,0.0,0.0,Andriy Yarmolenko,0.0,0.0,Vasyl Kobin,0.0,0.0,Taras Mikhalik,0.0,0.0,Oleg Gusev,0.0,0.0,Yevgen Seleznov,1.0,0.0,Olexiy Gay,1.0,0.0,PERDIO,0.0,1.0,0.0
32,2009-11-18,Bosnia and Herzegovina,0-1,Kenan Hasagic,0.0,0.0,Boris Pandza,1.0,0.0,Zlatan Bajramovic,0.0,0.0,Sanel Jahic,0.0,0.0,Haris Medunjanin,1.0,0.0,Senijad Ibricic,1.0,0.0,Edin Dzeko,0.0,0.0,Safet Nadarevic,0.0,0.0,Vedad Ibisevic,0.0,0.0,Sejad Salihovic,0.0,0.0,Miralem Pjanic,0.0,0.0,Dzemal Berberovic,0.0,0.0,Zlatan Muslimovic,1.0,0.0,,,,PERDIO,0.0,1.0,0.0
33,2009-11-18,Greece,0-1,Alexandros Tzorvas,0.0,0.0,Nikos Spiropoulos,0.0,0.0,Vangelis Moras,0.0,0.0,Georgios Samaras,0.0,0.0,Konstantinos Katsouranis,0.0,0.0,Angelos Charisteas,0.0,0.0,Georgios Karagounis,0.0,0.0,Loukas Vyntra,0.0,0.0,Dimitrios Salpingidis,0.0,1.0,Sokratis Papastathopoulos,0.0,0.0,Sotirios Kyrgiakos,0.0,0.0,Vasileios Pliatsikas,0.0,0.0,Alexandros Tziolis,0.0,0.0,Theofanis Gekas,0.0,0.0,GANO,1.0,0.0,0.0
34,2009-11-18,Republic of Ireland,1-1,Shay Given,1.0,0.0,St Ledger,1.0,0.0,Kilbane,1.0,0.0,Oshea,1.0,0.0,Dunne,1.0,0.0,Glenn Whelan,1.0,0.0,Lawrence,1.0,0.0,Keith Andrews,1.0,0.0,Kevin Doyle,1.0,0.0,Robbie Keane,1.0,1.0,Damien Duff,1.0,0.0,Aiden Mcgeady,1.0,0.0,Paul Mcshane,1.0,0.0,Gibson,1.0,0.0,EMPATO,0.0,0.0,1.0
35,2009-11-18,France,1-1,Lloris,0.0,0.0,Bacary Sagna,0.0,0.0,Julien Escud,0.0,0.0,William Gallas,0.0,1.0,Lassana Diarra,0.0,0.0,Yoann Gourcuff,0.0,0.0,Nicolas Anelka,0.0,0.0,Andrpierre Gignac,0.0,0.0,Thierry Henry,0.0,0.0,Patrice Evra,1.0,0.0,Alou Diarra,0.0,0.0,Govou,1.0,0.0,Florent Malouda,0.0,0.0,Sbastien Squillaci,0.0,0.0,EMPATO,0.0,0.0,1.0
